CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
LIT382,J,Advanced Studies in Japanese Literature I,日本文学特別研究 I,"*5/W,*5/F",H-104A,Face to Face,"SONOYAMA, Senri",3,
LIT384,J,Advanced Studies in Classics I,西洋古典文学特別研究 I,"5/M,6/M",,Face to Face,"SANO, Yoshinori",2,
MTH101,J,Calculus I,微分積分学Ⅰ,"1/TH,2/TH<6/M,7/M or 6/W,7/W>",H-324,Face to Face,"MARUYAMA, Fumitsuna/YAMAZAKI, Mitsuru",3,
MTH101,E,Calculus I,微分積分学Ⅰ,"2/TH,3/TH,(6/W,7/W)",H-259,Face to Face,"DOU, Xiaoling",3,
MTH103,E,Linear Algebra I,線形代数学 I,"5/W,6/W,(5/F,6/F)",H-303,Face to Face,"KOBAYASHI, Masato",3,
MTH212,J,Function Theory of One Complex Variable,1変数複素関数論,"5/TU,(6/TU,7/TU)",H-302,Face to Face,"NAKAISHI, Kentaro",2,
MTH251,E,Basic Concepts in Mathematics III (General Topology),数学通論 III（一般位相）,"5/F,(6/F,7/F)",H-259,Face to Face,"MATSUMURA, Tomoo/OKAMOTO, Yukihiro",2,
MTH272,J,Probability and Statistics,確率論と統計学,"1/TU,2/TU",H-302,Face to Face,"SHI, Shoi",2,
MTH384,E,Advanced Seminar in Mathematics III,数学特別演習 III,"6/SA,7/SA",T-112,Face to Face,"YAMAZAKI, Mitsuru",2,
MTH384,E,Advanced Seminar in Mathematics III,数学特別演習 III,"6/SA,7/SA",T-113,Face to Face,"MATSUMURA, Tomoo",2,
MTH388,J,Topics in Mathematics II,数学特論 II,"1/M,2/M",H-302,Face to Face,"MARUYAMA, Fumitsuna",2,
MTH389,E,Topics in Mathematics III,数学特論III,"4/W,4/F",H-302,Face to Face,"SHIMIZU, Yuji/MATSUMURA, Tomoo",2,
MCC107,E,Introduction to Interpreting,通訳入門,"5/TH,6/TH,7/TH",I-103,Face to Face,"TAMURA, Tomoko",3,
MCC211,E,Bilingualism and Multilingualism,バイリンガリズムとマルティリンガリズム,"5/M,6/M",H-224,Face to Face,"NAKAMURA, Keiko",2,
MCC232,E,Interpreting in Society,社会と通訳,"5/W,6/W,7/W",I-103,Face to Face,"TAMURA, Tomoko",3,
MCC252,J,Cultural Studies I,カルチュラル・スタディーズ I,"5/TU,6/TU,7/TU",T-171,Face to Face,"YAMAMOTO, Atsuhisa",3,
MCC253,J,Cultural Studies II,カルチュラル・スタディーズII,"2/M,2/W,2/F",T-270,Face to Face,"ARIMOTO, Takeshi",3,
MCC254,J,Documentary Film Making,ドキュメンタリー・フィルム制作,"5/TU,6/TU",H-101,Face to Face,"SHIOZAKI, Toshiko",2,
MCC271,J,Contemporary Praxes on Communication Study,現代コミュニケーション学,"5/M,6/M",T-328,Face to Face,"ITOH, Megu",2,
MCC273,E,Intercultural Communication,異文化コミュニケーション,"*4/M,*4/TH",H-205,Face to Face,"HONG, Seung Min",3,
MCC275,E,Communication Technology and Society,コミュニケーション・テクノロジーと社会,"*4/M,*4/TH",T-270,Face to Face,"TSE, Yu-Kei",3,
MCC311,J,Language and History,言語と歴史,"5/TU,6/TU",,Face to Face,"ARAI, Yukiyasu",2,
MCC351,J,Cultural Studies III,カルチュラル・スタディーズIII,"*5/W,*5/F",T-364,Face to Face,"ARIMOTO, Takeshi",3,
MCC381,E,Advanced Studies in Communication I,コミュニケーション論特別研究 I,"*5/W,*5/F",H-323,Face to Face,"HONG, Seung Min",3,
MCC385,E,Advanced Studies in Translation,翻訳特別研究,"2/M,2/W,2/F",H-274,Face to Face,"GARZA, James Michael",3,
MUS204,J,Introduction to Organ Music,オルガン音楽入門,"(5/F,6/F,7/F)",H-401,Face to Face,"KAN, Tetsuya",2,
MUS205,J,Studies in Musical Composition,作曲研究,"*5/W,*5/F",H-301,Face to Face,"SANO, Akitsugu",3,
MUS209,J,Introduction to Music Management,音楽マネージメント概論,"(5/M,6/M,7/M)",H-401,Face to Face,"KOIZUMI, Motohiro",2,
MUS210,E,Music and Religion,音楽と宗教,"*4/M,*4/TH",H-401,Face to Face,"GILLAN, Matthew A.",3,
MUS215,E,Studies in Music Performance II,音楽演奏研究 II,"1/TU,2/TU,3/TU",H-401,Face to Face,"NAKAMURA, Hitomi",3,
PHR108,J,Introduction to the Old Testament,旧約聖書学概論,"3/M,3/W,3/F",H-205,Face to Face,"RO, Johannes Unsok",3,
PHR112,J,Introduction to Ethics,倫理学概論,"3/TU,2/TH,3/TH",H-173,Face to Face,"TAMURA, Miki",3,
PHR225,J,New Testament Greek,新約ギリシア語,"*5/W,*5/F",H-275,Face to Face,"YAKIYAMA, Mariko",3,
PHR228,J,Late Modern Philosophy,後期近代哲学史,"*4/M,*4/TH",H-102,Face to Face,"TAMURA, Miki",3,
PHR236,J,Philosophy of Religion,宗教哲学,"5/TU,6/TU",H-275,Face to Face,"HIGAKI, Julie",2,
PHR320,E,Metaphysics,形而上学,"2/M,2/W,2/F",H-105,Face to Face,"YAJIMA, Naoki",3,
PHR323,E,Comparative Thought,比較思想,"2/M,2/W,2/F",H-275,Face to Face,"ESKILDSEN, Stephen Edward",3,
PHR337,E,Topics in Theology I,神学の諸問題 I,"*4/M,*4/TH",H-104A,Face to Face,"MCGLOTHLIN, Thomas Dwight",3,
PHR382,J,Seminar in Eastern Thought,東洋思想研究,"*4/TU,*4/TH",,Face to Face,"ESKILDSEN, Stephen Edward",3,
PHR383,J,Seminar in the History of Modern Philosophy,近代哲学史研究,"*4/W,*4/F",H-276,Face to Face,"YAJIMA, Naoki",3,
PHR385,E,Seminar in Systematic Theology,組織神学研究,"*4/TU,*4/TH",,Face to Face,"MCGLOTHLIN, Thomas Dwight",3,
PHY103,E,Foundation of Physics,基礎物理学,"3/M,3/W",H-351,Face to Face,"OKANO, Ken",2,
PHY104,J,Introduction to Physics Laboratory,初級物理学実験,"5/TH,(6/TH,7/TH)",T-166,Face to Face,"KAMATA, Masahiro/KAKINUMA, Toru",2,
PHY212,E,Mechanics,力学,"(1/TU,2/TU),2/TH,3/TH",T-113,Face to Face,"TEZUKA, Ayako/HITZER, Eckhard",3,
PHY242,J,Statistical Physics,統計物理学,"(5/TU,6/TU),5/TH,6/TH",T-250,Face to Face,"HIRASHIMA, Dai/SATOOKA, Junko",3,
PHY261,J,Laboratory in Computational Physics,計算物理学実習,"5/M,(6/M,7/M)",T-342,Face to Face,"TOMIYAMA, Manabu",2,
PHY383,E,Quantum Mechanics,量子力学,"5/W,6/W",T-250,Face to Face,"HITZER, Eckhard",2,
PHY387,J,Special Studies in Physics C,物理学特論 C,"6/SA,7/SA",T-250,Face to Face,"HIRASHIMA, Dai",2,
PHY387,J,Special Studies in Physics C,物理学特論 C,"6/SA,7/SA",T-342,Face to Face,"OKANO, Ken",2,
PHY387,J,Special Studies in Physics C,物理学特論 C,"6/SA,7/SA",T-343,Face to Face,"YAMAZAKI, Rekishu",2,
POL213,J,History of Western Political Thought III,西欧政治思想史 III,"5/F,6/F",H-375,Face to Face,"KIBE, Takashi",2,
POL216,J,History of Japanese Political Thought,日本政治思想史,"5/M,6/M",H-102,Face to Face,"OKUBO, Takeharu",2,
POL231,E,American Democracy in Comparative Perspective,アメリカ民主主義の国際比較,"*5/M,*5/TH",H-103,Face to Face,"COLLET, Christian",3,
POL232,J,Comparative Politics,比較政治学,"*4/M,*4/TH",H-351,Face to Face,"KOO, Yoojin",3,
POL381,E,Advanced Studies in Political Science I,政治学特別研究 I,"*5/W,*5/F",H-125,Face to Face,"KOO, Yoojin",3,
PSY211,E,History and Recent Trends in Psychology,心理学の歴史と動向,"*4/M,*4/TH",H-260,Face to Face,"CHAN, Christian",3,
PSY223,J,Psychological Statistics and Data Analysis,心理統計とデータ分析,"*4/M,*4/TH",I-106,Face to Face,"SUDO, Mioko",3,
PSY251,J,Psychology of Development,発達心理学,"2/M,2/W,2/F",T-171,Face to Face,"NAOI, Nozomi",3,
PSY262,E,Social Psychology,社会心理学,"*5/W,*5/F",H-173,Face to Face,"SUMLUT, Roi Sawm",3,
PSY272,J,Counseling,教育相談,"1/TU,2/TU",H-125,Face to Face,"NISHIMURA, Kaoru",2,
PSY322,J,Observation and Interview in Psychology,観察と面接法,"5/TH,6/TH",H-275,Face to Face,"NISHIMURA, Kaoru",2,
PSY364,J,Studies in Psychology of Organization Development,組織開発の心理学,"3/M,3/W",,Online,"MIYAKAWA, Erika",2,
PSY365,E,Studies in Social Psychology,社会心理学研究,"5/F,6/F",H-205,Face to Face,"KAVANAGH, Christopher Michael",2,
PPL102,E,Introduction to Foreign Policy,外交政策入門,"3/TU,2/TH,3/TH",,Online,"NAGY, Stephen R.",3,
PPL208,J,Mass Media and Public Policy,マスメディアと公共政策,"*5/W,*5/F",T-171,Face to Face,"FUJITANI, Takeshi",3,
PPL381,E,Advanced Studies in Public Policy I,公共政策特別研究 I,"1/TU,2/TU,1/TH",T-249,Face to Face,"PORTEUX, J. Nathaniel",3,
SOC102,J,Principles of Sociology,社会学原論,"5/W,6/W,7/W",T-229,Face to Face,"YATABE, Keisuke",3,
SOC103,E,Approaches to Sociological Research,社会学的研究へのアプローチ,"*4/M,*4/TH",H-223,Face to Face,"YAMAGUCHI, Tomiko",3,
SOC204,E,International Migration and Ethnicity,国際人口移動とエスニシティ,"*5/M,*5/TH",H-151,Face to Face,"KIM, Allen",3,
SOC206,J,Readings in Sociological Texts,社会学原書講読,"5/W,6/W,7/W",H-276,Face to Face,"NAKANO, Yuichi",3,
SOC207,E,Social Movements,社会運動論,"1/TU,2/TU,1/TH",H-105,Face to Face,"NA, Ildeung",3,
SOC306,J,Sociological Theories,社会学学説研究,"*5/M,*5/TH",H-352,Face to Face,"NA, Ildeung",3,
SOC307,J,Environmental Sociology,環境社会学,"5/W,6/W,7/W",H-351,Face to Face,"HAGIWARA, Yuki",3,
SOC308,E,Sociology of Organizations,組織社会学,"5/F,6/F,7/F",H-105,Face to Face,"SHIMAZOE, Junko",3,
MTH384,E,Advanced Seminar in Mathematics III,数学特別演習 III,"6/SA,7/SA",T-249,Face to Face,"DOU, Xiaoling",2,
POL385,E,Advanced Studies in Public Opinion and Survey Research,政治学・国際関係学における世論調査特別研究,"*4/M,*4/TH",H-104B,Face to Face,"COLLET, Christian",3,
POL234,E,Japanese Politics,日本の政治,"1/TU,2/TU,3/TU",H-205,Face to Face,"TSUDA, Taro",3,
AMS301,E,Special Topics in American Studies,アメリカ学特別研究,"*5/W,*5/F",H-308,Face to Face,"TONG, Kurt",3,
QAMT000,,Master Thesis,修士論文,,,,STAFF,0,
QALL401,E,Data Analysis for Researchers,研究者のためのデータ活用と分析,"5/W,6/W",I-212,Face to Face,"KAIZOJI, Taisei/AU YEUNG, Wan Kin",2,
QALL403,E,Writing for Researchers (English),研究者のための論文作成法(英語),"1/M,1/W","H-151,H-152,H-155,H-157,H-176",Face to Face,"KOBAYASHI, Yoko/EVANS, Simon/KITO, Kazuya/SMITH, Guy A./YOSHIDA, Takako",2,
QALL409,E,Academic English for Research (W),研究のためのアカデミック・イングリッシュ（W）,"1/M,1/W",H-153 ; (Enroll 10) Those who are selected by ELA Office and GSG can take this course.,Face to Face,"COUSINS, Emily Y.",2,
QEFD404,E,General Linguistics,一般言語学,"5/TH,6/TH,7/TH",H-104A,Face to Face,"ABE, Yuko",3,
QEFD411,J,Seminar in Social Psychology,社会心理学セミナー,"2/M,2/W,2/F",T-342,Face to Face,"MIYAKAWA, Erika",3,
QEFD422,J,Developmental Neuroscience Seminar,発達神経科学セミナー,"2/TH,3/TH",H-104B,Face to Face,"NAOI, Nozomi",2,
QEED515,E,Research on Education in Diverse Societies,多文化社会と教育研究,"5/TU,6/TU",H-103,Face to Face,"KOMURA, Kiriko",2,
QEED523,E,Practitioner Research- Instructional Design Cases,プラクティショナー・リサーチ インストラクショナルデザイン事例,"3/M,3/W",H-123,Face to Face,"HOWARD, Craig Dennis",2,
QEED526,J,Seminar in Philosophy of IB Education: MYP,IB教育哲学演習：MYP,"1/TU,2/TU",T-250,Face to Face,"KOMATSU, Maki",2,
QEED527,E,Seminar in Philosophy of IB Education: DP,IB教育哲学演習：DP,"5/F,6/F",T-113,Face to Face,"KOMATSU, Maki",2,
QEED528,E,Teaching Practicum in IB World School,IB認定校での教育実習,,,Face to Face,"FUJII, Akiko/KOMATSU, Maki",2,
QEED529,E,"Teaching, Learning and Assessment in the IB Programmes: MYP and DP",国際バカロレア教育における指導・学習・評価：MYPとDP,"2/W,2/F",H-106B,Face to Face,"KOMATSU, Maki",2,
QEPS503,J,Directed Research Seminar in Psychology II,心理学特別研究 II,"5/M,6/M",H-104A,Face to Face,"NAOI, Nozomi/NISHIMURA, Kaoru",1,
QEPS513,E,Social and Emotional Development,社会・情動発達,"5/W,6/W",H-104B,Face to Face,"SUDO, Mioko",2,
QEPS602,E,Directed Research Seminar in Psychology IV,心理学特別研究 IV,"5/M,6/M",T-343,Face to Face,"CHAN, Christian/SUDO, Mioko",1,
QELE506,E,Language Acquisition,言語習得論,"*4/W,*4/F",H-104A,Face to Face,"QUAY, Suzanne",3,
QELE510,J,Special Studies in Language Education,言語教育特別研究,"3/TU,2/TH,3/TH",H-106B,Face to Face,"SHIROZA, Saran",3,
QELE511,J,Studies in Japanese Language Education,日本語教育研究,"3/W,3/F",H-106A,Face to Face,"HANDA, Atsuko",2,
QELE514,J,Comparative Language Culture,比較言語文化論,"5/F,6/F",H-106B,Face to Face,"MATSUSHITA, Tatsuhiko",2,
QEMR603,,Research III,専門研究 III,"8/TU,8/W",,,STAFF,2,
QPFD401,E,Advanced Econometrics,上級計量経済学,"5/M,6/M",H-253,Face to Face,"INOUE, Tomoo",2,
QPFD408,E,Media and Power,メディアと権力,"5/M,6/M",T-270,Face to Face,"TSE, Yu-Kei",2,
QPFD412,E,Microeconomics,ミクロ経済学,"4/W,4/F",H-375,Face to Face,"MARSZALEC, Daniel Janusz",2,
QPFD419,E,Public Policy,公共政策論,"2/TH,3/TH",H-355,Face to Face,"ONO, Keiko",2,
QPFD436,E,"Development, Conflict and Peacebuilding",開発・紛争・平和構築,"5/M,6/M",H-176,Face to Face,"SHANI, Giorgiandrea",2,
QPPI513,E,Chinese Foreign Policy: From history to practice,中国外交：歴史から実践,"1/TU,2/TU",,Online,"NAGY, Stephen R.",2,
QPPI515,E,Law and Peace,法と平和,"4/W,4/F",T-249,Face to Face,"MATSUDA, Hiromichi",2,
QPPI516,E,International Organization and Peace,国際機構と平和,"5/F,6/F",T-229,Face to Face,"HASHIMOTO, Naoko",2,
QPPI523,E,The United Nations and Sustainable Development,国連と持続可能な開発,"2/TH,3/TH",H-107,Face to Face,"MORITA, Hiroko",2,
QPPI524,E,International Internship,国際インターンシップ,,,Face to Face,STAFF,2,
QPPI530,E,Multilateral Diplomacy,多国間外交,"1/TU,2/TU",H-104B,Face to Face,"SALTON, Herman",2,
QPPI605,E,Political Institutions,政治制度論,"5/W,6/W",T-342,Face to Face,"PORTEUX, J. Nathaniel",2,
QPSC504,E,Social and Cultural Analysis Special Course I,社会文化分析特講 I,"*5/M,*5/TH",H-357,Face to Face,"YAMAGUCHI, Tomiko",3,
QPML506,E,Sociolinguistics,社会言語学,"4/M,5/M",H-276,Face to Face,"FUJITA-ROUND, Sachiyo",2,
QPML510,J,Argumentation Theories,討議理論,"4/TH,5/TH",H-358,Face to Face,"AONUMA, Satoru",2,
QPPE523,E,Corporate Finance and Accounting II,企業財務会計論 II,"3/W,3/F",H-104B,Face to Face,"YAMANE, Satoka",2,
QPPS501,E,Global Issues,グローバル・イシュー,,,Face to Face,"SALTON, Herman",2,
QPMR603,,Research III,専門研究 III,"8/TU,8/W",,,STAFF,2,
QCFD411,J,Literature of the East I,東洋の文学 I,"2/W,3/W",H-104A,Face to Face,"SONOYAMA, Senri",2,
QCJC513,E,Topics in Japanese History II,日本史の諸問題 II,"6/M,7/M",,Face to Face,"BORLAND, Janet Lorraine",2,
QCAC514,J,Comparative Culture Research II,比較文化研究論 II,"4/M,5/M",H-124,Face to Face,"YAMANA, Junko",2,
QCAC516,E,Comparative Culture Research IV,比較文化研究論 IV,"2/TH,3/TH",H-106A,Face to Face,"RAVENSCROFT, Claire",2,
QCMR603,,Research III,専門研究 III,"8/TU,8/W",,,STAFF,2,
QCTS501,J,Transcultural Studies I,超学域文化論 I,"6/W,7/W",H-152,Face to Face,"YAKIYAMA, Mariko",2,
QCTS507,J,Gender and Literature,ジェンダーと文学,"5/TU,6/TU",H-208,Face to Face,"MURAI, Mayako",2,
QCTS512,J,Aspects of Western Religious Theories,西洋宗教理論の諸相,"5/F,6/F",H-104B,Face to Face,"RO, Johannes Unsok",2,
QCJC503,J,Japanese Culture III,日本文化論 III,"5/F,6/F",T-342,Face to Face,"TSUBAKIDA, Yukiko",2,
QNFD401,J,Frontiers in Scientific Research,先端科学研究,8/F,T-112,Face to Face,"ISHIBASHI, Keisuke",2,
QNFD404,E,Studies in Science Education,科学教育論,"4/TH,5/TH",T-342,Face to Face,"KOSE, Hiroyuki",2,
QNMC503,E,Advanced Studies in Computer Science,計算機科学特論,"2/M,3/M",T-113,Face to Face,"TANAKA, Hiroki",2,
QNMC507,E,Advanced Studies in Mathematics,数学特論,"4/M,5/M",T-113,Face to Face,"HARA, Wahei",2,
QNMC509,J,Data Science in the Finance,データサイエンスとファイナンス,,AUTUMN RECESS,Face to Face,"KITANO, Hiroaki/TAJIRI, Takao",2,
QNMS502,J,Quantum Information Science,量子情報科学,"2/TU,3/TU",H-104A,Face to Face,"YAMAZAKI, Rekishu/ISHIBASHI, Keisuke/KABURAGI, Takashi",2,
QNMS504,E,Concepts in Polymer Chemistry,高分子化学,"2/TU,2/TH",T-342,Face to Face,"KOE, Julian R.",2,
QNMS509,E,Physical Chemistry,物理化学,"2/W,3/W",H-307,Face to Face,"CHUN, Wang Jae",2,
QNMS512,E,Solid State Physics,物性物理学,"5/F,6/F",T-250,Face to Face,"HIRASHIMA, Dai",2,
QNLS504,E,Mechanisms of Environmental Diseases,環境疾患のメカニズム,"4/SA,5/SA",T-342,Face to Face,"GOURAUD, Sabine Sandra Stephanie",2,
QNLS505,E,Approaches in Experimental Science,実験科学の方法論,"2/SA,3/SA",T-250,Face to Face,"WANG, Mu-Yun",2,
QNMS515,E,Ecosystem Ecology,生態系生態学,"2/M,2/W",T-250,Face to Face,"FUJINUMA, Ryosuke",2,
QADT601,E,Techniques for Researchers I - Academic Presentations,研究者のための技法 I - アカデミック・プレゼンテーション,8/M,H-101,Face to Face,"DAWSON, Walter P./MONTGOMERY, Heather A./RO, Johannes Unsok/ISHIBASHI, Keisuke/ISHIO, Yoshito",2,
